,name,lii,bii,vmag,ra_deg,dec_deg,cluster_id
1149,HIP 51438 ,292.41274512,-12.06600077,4.72,157.58364619,-71.99271995,37
1150,HIP 6692  ,126.14841377,5.47387931,4.72,21.48293404,68.12994739,35
1151,HIP 29276 ,263.30289552,-27.68366059,4.72,92.574638,-54.96866057,42
1152,HIP 60202 ,264.14239541,78.28053005,4.72,185.17955477,17.79265307,30
1153,HIP 27639 ,173.39540525,5.27581198,4.72,87.7600428,37.30568175,20
1154,HIP 64844 ,102.7389906,75.51549776,4.72,199.38598801,40.57256275,12
1155,HIP 51056 ,191.85507557,58.11195017,4.72,156.47861301,33.79626364,84
1156,HIP 40084 ,233.88475234,11.19104807,4.72,122.81800545,-12.92701835,24
1157,HIP 78592 ,72.69236935,47.97890576,4.72,240.69937951,46.03685378,86
1158,HIP 46371 ,252.9381411,20.14032746,4.72,141.82623904,-22.3434176,72
1159,HIP 84514 ,21.19418981,20.74861117,4.72,259.15294004,-0.44514192,33
1160,HIP 51658 ,178.93024386,58.61551922,4.72,158.30832166,40.42554046,84
1161,HIP 25044 ,202.63407972,-20.02653329,4.72,80.4406153,-0.38246922,0
1162,HIP 107188,33.37827118,-46.0302549,4.72,325.66423845,-18.86630105,53
1163,HIP 103045,38.84307791,-30.98188529,4.73,313.16335749,-8.98323782,53
1164,HIP 53907 ,256.86672265,50.31958363,4.73,165.45695372,-2.48449705,17
1165,HIP 40096 ,259.29471124,-5.06336649,4.73,122.85790344,-42.98728888,6
1166,HIP 78914 ,335.09260752,5.17336702,4.73,241.6225984,-45.17327517,19
1167,HIP 33202 ,201.51034331,6.66551607,4.73,103.66080771,13.17801628,74
1168,HIP 79119 ,58.39576457,47.47313703,4.73,242.24303566,36.49010935,86
1169,HIP 11313 ,137.94845174,-9.82675461,4.73,36.40583743,50.27866588,60
1170,HIP 64924 ,311.86314585,44.09479228,4.74,199.60405,-18.30861062,52
1171,HIP 11783 ,191.11950005,-63.77731119,4.74,38.02198846,-15.2443199,34
1172,HIP 15520 ,137.4569488,7.06099203,4.74,49.99690314,65.65232717,62
1173,HIP 16341 ,189.96006502,-46.17602442,4.74,52.65437447,-5.07516332,47
1174,HIP 69191 ,314.57471359,7.64967655,4.74,212.47898599,-53.43872584,2
1175,HIP 39903 ,274.97361734,-14.95479146,4.74,122.25357658,-61.3017058,68
1176,HIP 42624 ,265.87397853,-3.27412301,4.74,130.3047503,-47.31714129,6
1177,HIP 88116 ,6.02197212,-0.12598883,4.74,269.94815306,-23.81601126,63
1178,HIP 6193  ,130.55714203,-35.19232898,4.74,19.86657455,27.26408682,41
1179,HIP 77661 ,34.43730136,48.70238819,4.74,237.81642977,20.97787548,49
1180,HIP 116602,336.65936711,-66.51834202,4.74,354.46223051,-45.49232134,82
1181,HIP 96052 ,67.97252813,7.43919334,4.74,292.94300436,34.45297707,79
1182,HIP 93542 ,354.91296013,-19.83449778,4.74,285.77846922,-42.09499443,16
1183,HIP 12413 ,255.67290902,-62.98110215,4.74,39.94966387,-42.89163328,80
1184,HIP 103632,88.02953704,0.97068827,4.74,314.95645946,47.52094507,28
1185,HIP 44390 ,146.62946394,37.23185898,4.74,135.63635792,67.62957486,26
1186,HIP 108874,57.43743811,-42.66797736,4.74,330.82845686,-2.15533588,59
1187,HIP 2505  ,120.05102037,-8.23938193,4.74,7.94299136,54.52232473,14
1188,HIP 69713 ,95.23631248,60.9622414,4.75,214.04195627,51.36701398,12
1189,HIP 115088,114.42547825,6.78594708,4.75,349.6558621,68.11141807,29
1190,HIP 67786 ,317.92718943,29.13912655,4.75,208.30228458,-31.92758624,52
1191,HIP 101612,336.03582267,-36.09058299,4.75,308.89486744,-60.58129819,32
1192,HIP 57581 ,296.75758572,-4.7037163,4.75,177.06037263,-66.81487085,10
1193,HIP 35020 ,259.31172418,-16.28699761,4.75,108.65893526,-48.27192832,23
